idx,TIMES,TIMES.1,subiu_desceu,P,J,V,E,D,GP,GC,SG,%
1,Corinthians,Corinthians,,47,19,14,5,0,32,9,23,82
2,Grêmio,Grêmio,,39,19,12,3,4,35,18,17,68
3,Santos,Santos,,35,19,10,5,4,22,13,9,61
4,Palmeiras,Palmeiras,,32,19,10,2,7,28,20,8,56
5,Flamengo,Flamengo,,29,19,7,8,4,27,19,8,50
6,Sport,Sport,,28,19,8,4,7,30,26,4,49
7,Cruzeiro,Cruzeiro,,27,19,7,6,6,21,16,5,47
8,Atlético-PR,Atlético-PR,Subiu2,26,19,7,5,7,21,22,-1,45
9,Fluminense,Fluminense,Subiu5,26,19,6,8,5,29,27,2,45
10,Coritiba,Coritiba,Subiu2,25,19,7,4,8,21,25,-4,43
11,Botafogo,Botafogo,Desceu3,25,19,6,7,6,21,20,1,43
12,Vasco da Gama,Vasco da Gama,Desceu3,24,19,7,3,9,21,30,-9,42
13,Bahia,Bahia,Subiu3,23,19,6,5,8,24,24,0,40
14,Ponte Preta,Ponte Preta,Subiu1,23,19,6,5,8,20,24,-4,40
15,Atlético-MG,Atlético-MG,Desceu4,23,19,6,5,8,19,23,-4,40
16,Chapecoense,Chapecoense,Desceu3,22,19,6,4,9,24,33,-9,38
17,São Paulo,São Paulo,,19,19,5,4,10,22,26,-4,33
18,Vitória,Vitória,Subiu1,19,19,5,4,10,21,30,-9,33
19,Avaí,Avaí,Desceu1,18,19,4,6,9,10,25,-15,31
20,Atlético-GO,Atlético-GO,,12,19,3,3,13,16,34,-18,21
