,Posição,PTS,J,V,E,D,GP,GC,SG,CA,CV,%,Recentes,Próx
0,1º  0 Flamengo - RJ Flamengo - RJ,27,12,8,3,1,21,7,14,32,6,75,V V E,São Paulo - SP
1,2º  0 Atlético - MG Atlético - MG,23,12,7,2,3,24,17,7,28,0,63,V V V,Grêmio - RS
2,3º  0 São Paulo - SP São Paulo - SP,23,12,6,5,1,18,11,7,36,2,63,E V V,Flamengo - RJ
3,4º +1 Internacional - RS Internacional - RS,22,12,6,4,2,15,8,7,33,1,61,E V V,Atlético - PR
4,5º -1 Grêmio - RS Grêmio - RS,20,12,5,5,2,11,5,6,24,1,55,D V E,Atlético - MG
5,6º  0 Palmeiras - SP Palmeiras - SP,19,12,5,4,3,18,11,7,42,3,52,V E E,Santos - SP
6,7º  0 Sport - PE Sport - PE,19,12,5,4,3,15,15,0,28,1,52,V D E,Ceará - CE
7,8º  0 Cruzeiro - MG Cruzeiro - MG,18,12,5,3,4,8,7,1,29,1,50,E D E,América - MG
8,9º +3 Botafogo - RJ Botafogo - RJ,17,12,4,5,3,16,14,2,25,1,47,E E V,Corinthians - SP
9,10º -1 Corinthians - SP Corinthians - SP,16,12,4,4,4,12,9,3,21,0,44,E E D,Botafogo - RJ
10,11º -1 Vasco da Gama - RJ Vasco da Gama - RJ,15,11,4,3,4,17,18,-1,30,4,45,E V D,Fluminense - RJ
11,12º -1 Fluminense - RJ Fluminense - RJ,14,12,4,2,6,14,17,-3,28,1,38,D D D,Vasco da Gama - RJ
12,13º  0 América - MG América - MG,14,12,4,2,6,14,18,-4,29,3,38,D D E,Cruzeiro - MG
13,14º  0 Chapecoense - SC Chapecoense - SC,14,12,3,5,4,14,19,-5,25,1,38,D V E,Bahia - BA
14,15º +1 Santos - SP Santos - SP,13,11,4,1,6,14,16,-2,19,1,39,E D V,Palmeiras - SP
15,16º -1 Vitória - BA Vitória - BA,12,12,3,3,6,16,23,-7,37,1,33,V E D,Paraná - PR
16,17º +1 Bahia - BA Bahia - BA,12,12,3,3,6,10,17,-7,27,1,33,D E V,Chapecoense - SC
17,18º +1 Paraná - PR Paraná - PR,10,12,2,4,6,7,16,-9,34,2,27,V D E,Vitória - BA
18,19º -2 Atlético - PR Atlético - PR,9,12,2,3,7,10,15,-5,23,1,25,D D D,Internacional - RS
19,20º  0 Ceará - CE Ceará - CE,5,12,0,5,7,7,18,-11,23,0,13,E E D,Sport - PE
